abv,barcode,beer,brewer,description,location,name,sku,style
7.10%,,LBC IPA,Beachwood BBQ & Brewing,a legit West Coast style IPA brewed to celebrate our famous home in the city of Long Beach. A large dose of kettle and dry hops give this beer a juicy flavor profile with a dank and sticky aroma,"Long Beach, CA",,,IPA
11.00%,,Onyx,Beachwood BBQ & Brewing,"An assortment of British chocolate malts and roasted barley. It also gets a hefty dose of rolled oats, which lends to a maddeningly silky mouthfeel. Kissed with brown sugar and smidgen of blackstrap molasses","Long Beach, CA",,,Imperial Stout
5.30%,,Rose Royce,Beachwood BBQ & Brewing,"Saison finished with sage honey, grains of paradise and red rose petals",Long Beach,,,Saison
5.50%,,Steamy!,Beachwood BBQ & Brewing,"Traditional California ""common"" brewed w/ British malts & Northern Brewer hops",Long Beach,,,California Common
6.10%,,The Hops of Brixton,Beachwood BBQ & Brewing,Classic British-style extra special bitter (ESB). Floral and earthy hop profile,Long Beach,,,Extra Special Bitter
7.10%,,Thrillseeker,Beachwood BBQ & Brewing,"Chinook, Summit, Centennial, & Simcoe offer a massive citrus & tropical hop profile",Long Beach,,,IPA
6.80%,,Un Atout,Beachwood BBQ & Brewing,A rustic Belgian-inspired saison. Toasty and silky base with a floral hop profile,Long Beach,,,Saison
7.00%,,"Careful w/ that Peach, Eugene",Beachwood Blendery,"Tart and funky, this Lambic-inspired ale has Peaches added","Long Beach, CA",,,American Wild Ale
6.50%,019962664540,Chaos Is A Friend Of Mine,Beachwood Blendery,"A 1 year old, blended, lambic inspired ale","Long Beach, CA",Beachwood Blendery Chaos is a Friend of Mine 750ml,,American Wild Ale
5.50%,696859915680,Alpha Galactic,Beachwood Brewing,"West-Coast-style pale ale with a blast of intergalactic flavors and aromas. A base of pilsner malt lays down a delicate foundation for the Australian Galaxy and American Warrior, Amarillo and Simcoe hop varieties","Huntington Beach, CA",Beachwood Alpha Galactic 22oz,100000125267,Pale Ale
7.10%,019962664748,Amalgamator,Beachwood Brewing,"Bursting with unique aromas and flavors. A light base of American 2-row malt makes way for the hops to take the stage. Hopped in the kettle with Amarillo, Warrior, Columbus, and Mosaic, and a massive Mosaic dry-hop","Huntington Beach, CA",Beachwood Amalgamator 12oz,,IPA
7.10%,696859190513,Citraholic,Beachwood Brewing,Aromas of citrus and tropical fruits with melon and gooseberry nuances,"Huntington Beach, CA",Beachwood Citraholic,476126,IPA
5.50%,019962664946,Foam Top,Beachwood Brewing,"Delicately hopped, light in the body and very refreshing with a clean finish.  Gold medal winner at GABF and WBC","Huntington Beach, CA",Beachwood Foam Top 12oz,,American Blonde Ale
8.90%,,Hop Ninja,Beachwood Brewing,"American 2-row malt kissed by caramel malt. Quadruple dry hopping with Simcoe, Amarillo, and Columbus creates an aroma that skillfully takes your olfactory senses hostage","Huntington Beach, CA",,,Double IPA
9.20%,696859190520,Mocha Machine,Beachwood Brewing,"This burly brew is infused with masterfully roasted coffee from Portola Coffee Lab in Costa Mesa, CA. It is then aged on cacao nibs from Equador, adding an awesomely deep dimension of fudge","Long Beach, CA",Beachwood Mocha Machine 22oz,476127,Imperial Stout
11.20%,696859073748,Tovarish,Beachwood Brewing,Finished with a touch of blackstrap molasses along with espresso brewed with the finest Arabian Mocha-Java coffee from Portola Coffee Lab. Layers of roast and dark fruits. Remarkably rich and complex,"Long Beach, CA",Beachwood Tovarish 22oz,100000124253,Imperial Stout
8.80%,,Still Unapologetic,Beachwood/Heretic/Stone,"Tropical fruit character, spiciness and classic American resiny, piney hop flavor hits a sweet spot in the name of all that is good, delicious, hoppy and forward-thinking","Escondido, CA",,,Double IPA
8.25%,100000006184,Apex,Bear Republic Brewing Co.,"Strong citrus, pine and resin notes","Healdsburg, California ",Bear Racer Apex Special 22oz,834556,Double IPA
9.75%,100000006177,Cafe Racer 15,Bear Republic Brewing Co.,"Aromas of bright citrus & resinous pine from the Citra, Amarillo, Cascade & Chinook hops ","Healdsburg, California ",Bear Cafe Racer 15,476406,Double IPA
6.00%,,Cuvee De Bubba,Bear Republic Brewing Co.,"Notes of stone fruits, malt, hints of tobacco, finishing with cherry pie sourness","Healdsburg, California ",,,American Wild Ale
7.50%,,Hop Shovel,Bear Republic Brewing Co.,Mosaic and Meridain provide a uniquely American and modern hop flavor and aroma,"Healdsburg, California ",,,IPA
8.30%,100000006191,Racer X,Bear Republic Brewing Co.,Assertive hop aroma and bitterness that compliments the firm malt backbone,"Healdsburg, California ",Bear Racer X,476158,Double IPA
4.00%,,Tartare,Bear Republic Brewing Co.,Very tart and lemony with some funk,"Healdsburg, California ",,,Berliner Weissbier
9.50%,,Barrel-Aged Horchata Stout,Belching Beaver,"An imperial stout brewed with vanilla, cinnamon and rice malt with a creamy medium body and aged in Bourbon Barrels","Vista, CA",,,Imperial Stout
6.50%,,Great Lei IPA,Belching Beaver Brewery,"Brewed with Simcoe, Mosaic and Amarillo hops for a refreshing and tropical finish",Vista,,,IPA with Pineapple and Coconut
5.30%,810960020402,Peanut Butter Milk Stout,Belching Beaver Brewery,Like dark chocolate Reese’s in a glass! ,Vista,Belching Beaver Peanut Butter Milk Stout 22oz,481211,Milk Stout
5.30%,810960020402,Peanut Butter Milk Stout,Belching Beaver Brewery,Like dark chocolate Reese’s in a glass! ,Vista,Belching Beaver Peanut Butter Milk Stout 22oz,481211,Milk Stout
9.00%,,Horchata Imperial Stout,Belching Beaver Brewing,"Roasted malt, fresh brewed coffee, vanilla and faint cinnamon",Vista,,,Imperial Stout
5.80%,,Amber Ale,Bell's Brewery,"Deftly balances a mixture of toasted grain and light caramel notes with a range of floral, citrus and herbal hop notes, capped by a clean bitterness",Michigan,,,American Amber
10.00%,,Hopslam Ale,Bell's Brewery,"Smell and taste of grapefruit, citrus zest, tropical fruit, and some sweet honey",Michigan,,,Double IPA
5.80%,740522110664,Oberon,Bell's Brewery,Smooth with sweet malts & citrus up front & spice notes in the background,Michigan,Bells Oberon 12oz 12pk,2254847,American Pale Wheat
6.50%,,Red Nose ESB,Bells Brewery,"Citrus, grapefruit, touch of mild english hops, caramel",Michigan,,,Extra Special Bitter
7.00%,740522110862,Two Hearted,Bells Brewery,Hopped exclusively with Centennial hops,Michigan,Bells Two Hearted 12oz 12pk,2254842,IPA
4.50%,608782674930,Brown Ale,Benchmark Brewing,A caramel and biscuit like flavor profile.  Light toasty notes and a gentle hint of roastiness leave this beer dry at the finish.,"San Diego, CA",8 Wired Rewired Brown Ale,478663,American Brown Ale
6.20%,8033695263001,Beersel Mattina,Birrificio Del Ducato / Drie Fonteinen,Saison blended with 18 month old 3 Fonteinen lambic. Delicate and funky,Italy,Del Ducato Beersel Mattina 375ml,1775911,Lambic
4.00%,,Aunt Joy,Bitter Brothers,"3 pounds of toasted coconut per barrel! Notes of toffee and caramel, nutty malt sweetness and coconut throughout with a lightly bitter dark chocolate finish","San Diego, CA",,,English Dark Mild
4.75%,,El Corazon Family Tart,Bitter Brothers,"Berlin-style wheat beer brewed with Blood Oranges, Pomegranate & Passion Fruit","San Diego, CA",,,Berliner Weisse
4.80%,,Little Brother,Bitter Brothers,"Aromas of grapefruit, orange, tangerine and tropical fruit. Hop forward with a lightly bitter finish.","San Diego, CA",,,Session IPA
6.50%,866576000123,Revolver,BNS Brewing and Distilling Co.,2015 GABF Gold Medal Winner! ,Santee,BNS Revolver 22oz,1990213,IPA
7.00%,739189782949,Grapefruit Hibiscus Heather,Boochcraft,"Filtered water, black tea, cold pressed grapefruit juice, hibiscus, heather flower, and cane sugar","San Diego, CA",Boochcraft Grapefruit Hibiscus Heather 22oz,2145755,Kombucha
7.00%,739189782956,Watermelon Mint Chili,Boochcraft,"Filtered water, black tea, cold pressed watermelon juice, mint, chili, and cane sugar","San Diego, CA",Boochcraft Watermelon Mint Chili 22oz,2518763,Kombucha
10.00%,895816002818,Knuckle Sandwich,Bootlegger's Brewery,Floral and citrus notes with a huge malt backbone,Fullerton,Bootleggers Knuckle Sandwich 12oz,2114070,Double IPA
6.10%,895816002092,Mint Chocolate Porter,Bootlegger's Brewery,Refreshing mint balanced with subtle hints of dark chocolate,"Fullerton, CA",Bootleggers Mint Chocolate Porter,476369,Porter
5.50%,,Sucker Punch,Bootlegger's Brewery,"Notes of pineapple, orange, and malt.",Fullerton,,,Session IPA
4.80%,737534449189,Lagerithm,Bottle Logic,2-time GABF Gold Medal Winner.  Dark and toasty with notes of caramel.,"Anaheim, CA",Bottle Logic Lagerithm 22oz,834835,American Dark Lager
9.00%,737534449240,Stable Orbit,Bottle Logic/AleSmith,Collaboration with Alesmith Brewing for the 7th Annual Orange County Brew Ha Ha; features all South African hops!,"Anaheim, CA",Bottle Logic/AleSmith Stable Orbit 22oz,,DOuble IPA
10.00%,,German Chocolate Cake,Bottlecraft + Coronado Collaboration,Brewed for Bottlecraft's 3rd Anniversary ,San Diego,,,Imperial Milk Stout
8.90%,9753124,Wax Poetic,Bottlecraft + Council Collaboration,Spring Collaboration between Bottlecraft and Council brewing! Farmhouse ale with avocodo blossom honey,San Diego,Wax Poetic Bottle,2364595,Saison
8.90%,7503019990230,Borderline,Bottlecraft + Insurgente,"Complex Imperial Brown Ale with honey and walnuts.  An assortment of malts were chosen to complement the nut flavor. Orange blossom honey was included to provide a subtle citrus note while helping to add an extra layer of complexity.
",Tijuana,Bottlecraft/Insurgente Borderline 22oz,100000100882,Imperial Nut Brown
8.10%,,Spiral Light,Bottlecraft + Toolbox + Vesper,"A blend of 75% Wild Ale and 25% koelschip beer aged in French oak on Grenache and Carignan grapes grown in San Diego at Vesper Vineyards.  Stone fruit flavor and aroma backed up with a strong acidity and notes of bright cherry, mild raspberry and a hint of elderberry","San Diego, CA",,,American Wild Ale
7.00%,,Foggiest Idea,Bottlecraft+Pizza Port+Half Door,"Brewed at Pizza Port Bressi Ranch w/ Citra, Huell Melon, Waimea, Mosaic, Motueka, & Amarillo hops.  Unfiltered, juicy and crisp w/ notes of Orange, lime, melon & passion fruit.","San Diego, CA",,,IPA
12.50%,,Collaboration No. 6,Boulevard / Firestone Walker,"A blend of Imperial Stout ""X' Tart Cherry, Bourbon Barrel Quad, Stickee Monkee, and Velvet Merkin",Missouri,,,Barrel-Aged Blend
9.10%,100000006689,Chocolate Ale,Boulevard Brewing Company,"Smooth layers of chocolate with threads of caramel, vanilla, and nutty malt","Kansas City, MO",Boulevard Chocolate Ale,478209,Strong Ale with Chocolate
9.10%,,Chocolate Ale With Raspberry,Boulevard Brewing Company,Chocolatey with bright flavors and aromas of raspberry,"Kansas City, MO",,,Strong Ale with Chocolate and Rasberry
5.80%,726959907343,Funky Pumpkin,Boulevard Brewing Company,A cornucopia of Fall spice aromas. Lightly tart and mellow from the barrel aging,"Kansas City, MO",Boulevard Funky Pumpkin,1326481,BA Pumpkin Ale w/ Brett 
4.10%,,Ginger Lemon Radler,Boulevard Brewing Company,Lemon notes with a touch of wheat and an underlying ginger bite,"Kansas City, MO",,,Radler
4.10%,,Ginger-Lemon Radler,Boulevard Brewing Company,Lemon notes with a touch of wheat and a ginger bite underlying,"Kansas City, MO",,,Radler
4.20%,726959907008,Hibiscus Gose,Boulevard Brewing Company,"Tangy, sweet and sour ale with a refreshing citrus character","Kansas City, MO",Boulevard Hibiscus Gose,1011180,Gose
11.00%,866576000130,Imperial Stout,Boulevard Brewing Company,"Aromas of rich malts, chocolate, coffee, bourbon, oak, vanilla","Kansas City, MO",BNS Gatling Gun Imperial Stout 22oz,100000102411,Imperial Stout
14.60%,,Rye On Rye On Rye,Boulevard Brewing Company,"ale aged in first-use rye whiskey barrels then transferred to yet another set of first-use rye whiskey barrels for a second aging, effectively resulting in ""Rye-on-Rye-on-Rye.""","Kansas City, MO",,,Barrel Aged Rye
8.50%,100000006771,Saison-Brett,Boulevard Brewing Company,Tank 7 Saison brewed with Brettanomyces,"Kansas City, MO",Boulevard Saison-Brett 2015,478214,Saison
8.50%,726959905967,Tank 7,Boulevard Brewing Company,"A big surge of fruity aromatics and grapefruit-hoppy notes, the flavor of this complex, straw-colored ale tapers off to a peppery, dry finish",Missouri,Boulevard Tank 7 - 12oz,477937,Saison
8.50%,726959905967,Tank 7,Boulevard Brewing Company,"Fruity aromatics & hoppy, grapefruit notes finishing with a long, dry and spicy","Kansas City, MO",Boulevard Tank 7 - 12oz,477937,Saison
12.20%,,Tripel Julep,Boulevard Brewing Company,Tripel aged in whiskey barrels with mint added,"Kansas City, MO",,,Tripel
5.00%,859996010056,Kriek,Brasserie Cantillon,"Whole cherries are poured, pits and all, into casks of lambic that have aged for a year and a half. The fruit dissolves and ferments in the cask for four to five months. In that time, even the pits begin to dissolve, lending a slight nutty flavor to the lambic in the cask. The cherry-flavored lambic is blended with old and new lambic to make beer with a strong, sour cherry flavor and bright red color.",Belgium,Boon Kriek,834832,Lambic - Fruit
5.30%,,Smeirlap,Brasserie de la Senne,,Belgium,,,Belgian Pale Ale
8.50%,,Pêche Mel Scaldis,Brasserie Dubuisson,Big peach aroma with a peppery kick that keeps it from being too sweet,Belgium,,,Fruit Beer
9.50%,792098052367,Avec Les Bons Voeux,Brasserie Dupont,"""With Best Wishes""",Belgium,Dupont Avec les Bons Voeux 750ml,475861,Imperial Saison
6.50%,,Saison Dupont,Brasserie Dupont,"Considered as “the classic” among the Belgian season beers!  Coppery blond, the finest aromas and a strong bitterness transform this beer into a thirst-quenchener with no equal",Belgium,,,Farmhouse Ale
7.00%,752245223279,Deux Amis,Brasserie Dupont / The Lost Abbey,"Trademark flavor of Dupont’s signature peppery yeast accentuated with vibrant notes of tropical fruit—grapefruit, passion fruit, mandarin and mango—all balanced by aromatic hints of clove and pine.",Belgium,Dupont/Lost Abbey Deux Amis,2803725,Saison
8.00%,852892003238,Saison,Brasserie Fantôme ,"The cult classic saison.  A perfect blend of funk, yeast spiciness and citrus flavors",Belgium,2 Towns Suns Out Peach Saison/Dark Currant,1799018,Saison
8.00%,,Saison D'Erezée - Hiver,Brasserie Fantôme ,Scotch-like caramel flavors with toasty/bitter malt & moderate hop bitterness,Belgium,,,Amber Saison
8.00%,,Strange Ghost,Brasserie Fantôme ,Brewed with herbs and spices.  This is a darker saison and definitely on the sour side,Belgium,,,Saison
5.00%,,Vertignasse,Brasserie Fantôme ,"Pours a green hue.  Notes of cucumber, apple, and a hint of tartness.  Finishes quite dry.",Belgium,,,Witbier
6.70%,714833841180,Daily Wages,Brasserie Saint James,"herbal aromas, crisp carbonation, and slight hints of spice","Reno, NV",Brasserie Saint James Daily Wages,1459406,Saison
5.80%,,Ayinger Oktober Fest-Märzen,Brauerei Aying,"Slightly sweet, malty nose. Medium body. Soft dryness from long maturation.",Germany,,,Märzen
4.50%,,Füchschen Alt,Brauerei Füchschen,"Pronounced “fook-shen - roasted malt, herbal, finishes dry",Germany,,,Altbier
7.70%,649440000135,Hennepin,Brewery Ommegang,"Brewed with grains of paradise, coriander, orange peel, and ginger.  Hearty and rustic golden ale.  Full-bodied, hoppy, and crisp.",New York,Ommegang Hennepin 12oz,477839,Saison
7.70%,,Motueka Hennepin,Brewery Ommegang,"Hennepin with late addition and dry-hopping with Motueka. Notes Lemon/Lime, noble spice, and light fruit.",New York,,,Saison
5.60%,649440999507,Rosetta,Brewery Ommegang,"Sweet and sour. Traditional Belgian Kriek, blended to perfection by their sister brewery Liefmans. A blend of old (aged on cherries at least three years) and young Flemish brown ale.",New York,Ommegang Rosetta,1474749,Flanders-Style Brown
5.75%,,Lambickx Brouwerij De Troch (2013-2015),Brouwerij De Troch,Barrel Type: 275 and 600 liter French Oak Barrels,Belgium,,,Gueuze
5.75%,,Lambickx Private Domaine (2011-2013),Brouwerij De Troch and Oud Beersel ,"Barrel Type: 650 liter, Oak and Chestnut Barrels",Belgium,,,Gueuze
7.50%,,Augustijn Blond,Brouwerij Van Steenberge,"Sweet, complex belgian malt with low bitterness and a smooth mouthfeel",Belgium,,,Belgian Pale Ale
11.50%,,Tripel de Garre,Brouwerij Van Steenberge,The house beer at the Staminee de Garre in Brugge.,Belgium,,,Tripel
10.00%,718122104130,Autumn Maple,Bruery ,"Yams, spices, vanilla, molasses, maple syrup",Placentia,Bruery Autumn Maple,476152,Seasonal
4.80%,,Frucht: Blueberry,Bruery Terreux,"Berlin-style tart wheat beer with blueberry.  Fruity, funky, and racy.","Placentia, CA",,,Berliner Weisse
4.80%,,Frucht: Cherry,Bruery Terreux,"Berlin-style tart wheat beer with cherries.  Fruity, funky, and racy.","Placentia, CA",,,Berliner Weisse
4.30%,,Frucht: Passion Fruit,Bruery Terreux,"Berlin-style tart wheat beer with passion fruit.  Fruity, funky, and racy.","Placentia, CA",,,Berliner Weisse
4.80%,,Frucht: Yumberry,Bruery Terreux,"Berlin-style tart wheat beer with yumberries.  Fruity, funky, and racy.","Placentia, CA",,,Berliner Weisse
8.40%,705105537955,Gypsy Tart,Bruery Terreux,"Notes of oak, vanilla, red wine, lots of dark fruits, leather, plum, apple, lemon",Placentia,Bruery Gypsy Tart,1314871,Flanders-style brown
7.50%,705105534152,Oude Tart,Bruery Terreux,"Sour with hints of leather, dark fruit and toasty oak",Placentia,Bruery Oude Tart 750ml,476138,Flemish-Style Red Ale
7.60%,705105535951,Sour in the rye,Bruery Terreux,"Pleasantly sour with notes of tart cherry, rustic earth and vanilla notes",Placentia,Bruery Sour in the Rye,,American Wild Ale
8.50%,,Tonnellerie Rue ,Bruery Terreux,Rye saison that has been 100% fermented in oak barrels,Placentia,,,Rye Saison
7.10%,,Wiki Wiki Tart,Bruery Terreux,"Hibiscus, passion fruit, and raspberries pluck harmonic notes, beginning with this beer’s passionate pink color and continuing through to its puckering flavor profile, which has a soft touch of wheat, oak and complimentary island-esque spices.","Placentia, CA",,,Sour Ale
7.00%,,Dankness Visible,Burning Beard Brewing ,"Hops a-plenty bombard the olfactory senses in this deliciously dank offering. Added in multiple stages throughout production, ridiculous amounts of hops give this beer the bursting aroma and flavor that is the hallmark of the San Diego style.","El Cajon, CA",,,IPA
5.50%,,Normcore,Burning Beard Brewing ,"Clean and refreshing.  No fanciful, esoteric ingredients. No flimsy, thinning adjuncts. Just premium German malts, the finest Czech hops, and the purest water. Making normal cool again.","El Cajon, CA",,,Czech Pilsner
6.60%,,Ron's Steam Bock Haircut,Carton / Alpine / Green Flash,Brewed in collaboration with Carton brewing from New Jersey.  California lager yeast and a classic maibock malt bill touched up with nugget hops for a hoppy finish.,"San Diego, CA",,,Maibock
7.63%,851514002772,Blackcap Raspberry,Cascade,"NW style sour blond ale barrel aged for 28 months before spending two months on 300+ pounds of Black Cap Raspberries. Vinous then sweet aromas of tart raspberries. Sharp, acidic notes of tart berries and leather on the palate lead to a sharp, dark berry presence and a finish with a prolonged dry fruit note",Oregon,Cascade Blackcap Raspberry 750ml,478070,Sour Ale
8.50%,859996010056,Kriek,Cascade,"Cascade Kriek Ale spends over 6 months of lactic fermentation and aging in small oak barrels. This ""Belgian Flanders Style Red Ale"" is refermented with a blend of fresh whole Northwest cherries.",Oregon,Boon Kriek,834832,American Wild Ale
8.50%,,¡Super Sorpresa!,Casita Cervecería,A tart and hoppy ale with citrus fruit and juice.  Brace yourself...,Vermont,,,Saison
6.55%,,Astillera,Cervecería Agua Mala,"Intense floral aromas, bitter on the palate contrasting the sweetness of the malt",Ensenada,,,IPA
5.24%,7503019810002,Marea Roja,Cervecería Agua Mala,"Aromas of peach, apple and honey, balanced with the malt, hops and yeast ",Ensenada,Agua Mala Marea Roja 12oz,1919953,Amber
5.24%,,Sirena,Cervecería Agua Mala,Spicy aromas with some light floral notes and pine,Ensenada,,,Pilsner
7.30%,7503019990025,La Lupulosa,Cerveceria Insurgente,"Aromas of peach, citrus and grapefruit",Tijuana,Insurgente La Lupulosa 22oz,558472,IPA
5.30%,7503019990001,Tiniebla,Cerveceria Insurgente,"Wheat brewed with orange peel & coriander. Light bodied, dry & refreshing",Tijuana,Insurgente Tiniebla Bottle,558473,Witbier
5.30%,7503019990001,Tiniebla,Cerveceria Insurgente,"Wheat brewed with orange peel & coriander. Light bodied, dry & refreshing",Tijuana,Insurgente Tiniebla Bottle,558473,Witbier
6.00%,,Búho Rompeolas,Cervecería Insurgente,"Hops in this beer explode in your mouth like the waves of the Pacific. This Hoppy Wheat uses Citra, Simcoe and Mosaic to create aromas and flavors that make us dream of Baja California beaches",Tijuana,,,Pale Wheat
6.80%,,Dragula,Cervecería Insurgente,"Brewed with oats and coffee.  Flavors of roast, coffee, chocolate and dark fruit.",Tijuana,,,Oatmeal Stout
7.30%,7503019990025,La Lupulosa,Cervecería Insurgente,"Using 5 different hops in various stages of brewing provides a fruity aroma and an intense hoppy flavor. Made with a generous amount of malt, this beer has a full body and caramel tones",Tijuana,Insurgente La Lupulosa 22oz,558472,IPA
7.30%,,Lupulillo Rivera,Cervecería Insurgente,Wet Hop IPA made w/ Chinook and Cascade from Nopalito Farms (San Diego) ,Tijuana,,,Wet Hop IPA
7.30%,,Saison Chouette,Cervecería Insurgente,A beer designed for hot days with spicy and fruity notes.,Tijuana,,,Saison
7.20%,,Sospeso IPA,Cervecería Insurgente,Collaboration with Caffe Sospeso - IPA made with Brazil Yellow Bourbon Coffee,"Tijuana, MX",,,Coffee IPA
6.10%,,Sospeso IPA ,Cervecería Insurgente,Collab with Caffe Sospeso (Tijuana) -  IPA made with coffee from Tanzania,Tijuana,,,Coffee IPA
8.00%,,V Aniversario (5th Anniversary),Cervecería Insurgente,"Dank hop flavor & aroma feat. Citra, Amarillo, Sorachi Ace, Galaxy, & Mosaic",Tijuana,,,Double IPA
5.40%,,Foca Parlante,Cervecería Wendlandt,"Notes of roasted coffee beans, hints of oatmeal and creamy chocolate",Ensenada,,,Oatmeal Stout
4.70%,,Hann Zommer,Cervecería Wendlandt,"Notes of fruit, spice, Belgian yeast",Ensenada,,,Saison
7.60%,7503020407031,Perro Del Mar,Cervecería Wendlandt,"Nice big hoppy aroma, lots of pine, grapefruit, mango, passion fruit",Ensenada,Wendtlant Perro Del Mar 12oz,1919961,IPA
8.90%,,Chewbocka Doppelbocka,Chewbocka Doppelbocka,A rich malt flavor with a hint of chocolate and coffee roast,"North Park, San Diego",,,Doppelbock
7.00%,,Première (Red),Chimay,"The oldest of the Chimays - copper color and sweet, fruity taste",Belgium,,,Dubbel
9.00%,,Hop Dumpster,Cismontane Brewing,"Citra, Amarillo, Chinook, Bravo. Hoppy, bitter, dry, boozy, citrusy, piney",Rancho Santa Margarita,,,Double IPA
12.00%,759325688249,Rexx,Clown Shoes,Imperial Red Ale aged in Heaven Hill and Four Roses bourbon barrels,Massachussets,Clown Shoes Rexx,1268031,BBA Imperial Red
5.00%,4515445800321,Shikkoku,Coedo Brewery,Dark in color but smooth and light in taste,Japan,Coedo Shikkoku,481373,Black Lager
7.50%,722130468047,Merbear,Coronado / Bear Republic,"Layered blend of Ella, El Dorado, Equinox, and Azacca dry hops","Healdsburg, California ",Bear Republic MerBear Rye IPA 22oz,2029806,Rye IPA
5.50%,,10 Degrees of Separation,Coronado / Latitude 42,"Collaboration between Coronado and Latitude 42 out of Portage, Michigan",San Diego,,,Brown ale w/ molasses
4.90%,,Seacoast,Coronado Brewing,"Crisp, refreshing and highly drinkable with hop aroma and flavor from Saaz, Cluster and German Hallertau hops.","San Diego, CA",,,Pilsner
7.00%,859718005506,Guava Islander,Coronado Brewing ,"Brewed with Centennial, Chinook and Columbus hops, this beer gets a hefty dose of fresh guava puree. The result is a surprisingly smooth, unfiltered IPA bursting with tropical goodness.","San Diego, CA",Coronado Guava Islander 22oz,,IPA
9.00%,100000008065,19th Anniversary IPA,Coronado Brewing Company,"Hopped with Citra, Galaxy, Green Bullet, Mosaic, Nugget and Simcoe",San Diego,Coronado 19th Anniversary IPA,1037810,Double IPA
5.00%,,For Days IPA,Coronado Brewing Company,"Hop forward with complex notes of lime, tropical fruits and dank citrus",San Diego,,,Session IPA
6.50%,,Humming Wires,Council / Alvarado St,"A portion of this beer was kettle soured to produce a light kiss of acidity, followed by a generous dry hop bill resulting in a beer with juicy notes of papaya, white grape, peach and mandarin orange","San Diego, CA",,,Tart IPA
3.80%,,Beatitude Tart Saison - Raspberry,Council Brewing Co.,Tart Saison aged on Raspberries,San Diego,,,Sour
3.80%,,Beatitude Tart Saison - Three Berry,Council Brewing Co.,"Tart Saison aged on Blackberries, Blueberries, Raspberries",San Diego,,,Sour
10.20%,858059004445,Belgian Tripel,Council Brewing Co.,"Medium-full bodied with an aroma and flavor of clove, spice, light colored stone fruit, with a creamy texture and semi-dry finish","San Diego, CA",Mother Earth Four Seasons Belgian Tripel,983027,Tripel
3.80%,,Blueberry Beatitude,Council Brewing Co.,"Saison with Brettanomyces, Lactobacillus and blueberrys",San Diego,,,Sour
7.20%,764210962670,Bully Pulpit,Council Brewing Co.,"Hopped w/ Mosaic & Simcoe; huge fresh mango, citrus, resin & pine",San Diego,Council Bully Pulpit CAN,,IPA
7.20%,,Gavel Drop,Council Brewing Co.,"Nelson Sauvin hops to add a fresh flavor profile. Big Nelson hop aroma in the nose; white wine, earthy, and complex fruit bouquet and flavor with a supporting malt backbone","San Diego, CA",,,IPA
4.50%,,Guava Béatitude,Council Brewing Co.,"This Tart Saison is brewed in the Belgian tradition of tart farmhouse ales. The magic happens when our house blend of Brettanomyces, Lactobacillus and Saison yeast fement out and fruit is added.","San Diego, CA",,,Sour Ale
3.80%,746827196075,Mango Beatitude,Council Brewing Co.,"Saison with Brettanomyces, Lactobacillus and mango",San Diego,Council Mango Beatitude bottle,1215625,Sour
4.50%,,Pineapple Béatitude,Council Brewing Co.,Tart saison aged on Pineapples and femented with brettanomyces and lactobacillus,"San Diego, CA",,,Sour Ale
3.80%,,Tart Saison - Blue Berry,Council Brewing Co.,,San Diego,,,Sour
3.80%,,Tart Saison - Dry Hopped,Council Brewing Co.,,San Diego,,,Sour
3.80%,,Tart Saison - Pineapple,Council Brewing Co.,,San Diego,,,Sour
3.80%,,Tart Saison - Three Berry,Council Brewing Co.,"Tart Saison aged on Blackberries, Blueberries, Raspberries",San Diego,,,Sour
3.80%,,Tart Saison - Three Berry,Council Brewing Co.,,San Diego,,,Sour
6.90%,,Cuvee De Masumoto,Craftsman Brewing,Sour ale brewed with Necatarines and Peaches from Masumoto farms,"Pasadena, CA",,,American Wild Ale
7.90%,,Honesty Ale,Craftsman Brewing,Barrel-aged (for 18 months) sour ale with cherries,"Pasadena, CA",,,Sour Ale
7.40%,,Acorn Saison,Craftsman Brewing Co,A dry and nutty Belgian-style Brown Farmhouse Ale brewed with acorns.,Pasadena,,,Brown Saison
6.80%,,Angelino Weisse,Craftsman Brewing Co,"Aromas of lemon, wheat and some fruity acidity",Pasadena,,,Berliner Weissbier
3.90%,,Black Lager,Craftsman Brewing Co,"Light & crisp, flavors of toasted malt, bitter chocolate, & hints of roasted coffee",Pasadena,,,Schwarzbier
4.20%,,Cassia Summer Ale ,Craftsman Brewing Co,Brewed with Meyer lemons and cassia cinnamon tree bark. Spicy and light!,Pasadena,,,Saison with Lemons
7.10%,,Craftsman Sour Saison,Craftsman Brewing Co,Pale farmhouse beer aged for 1 year in a French oak Cask. Tart dry and funky,Pasadena,,,Sour Saison
6.50%,,Fireworks Saison,Craftsman Brewing Co,A dry & spicy red saison that finished primary fermentation in an oak barrel,Pasadena,,,Red Saison
4.80%,,Heavenly Hefe,Craftsman Brewing Co,Traditional & unfiltered. Overtones of banana and clove.,Pasadena,,,Hefeweizen
5.00%,,Made In The Shade,Craftsman Brewing Co,Unfiltered Lager. ,Pasadena,,,Zwickle
7.60%,,Mesa Verde,Craftsman Brewing Co,A delicate barrel-aged sour ale with white wine grapes from Los Olivos,Pasadena,,,American Wild Ale
7.60%,,Persimmon Sour,Craftsman Brewing Co,Aged 16 months in 700gal French oak,Pasadena,,,Wild Ale
